Investor Name,Investory Type,Investor Country,Investor Date Added,Investor Last Updated,Commitment Asset Class,Commitment Amount,Commitment Currency
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Real Estate,4000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,92000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Real Estate,75000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Infrastructure,69000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Equity,21000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Hedge Funds,1000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Hedge Funds,28000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Hedge Funds,41000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Infrastructure,63000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Private Equity,55000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Natural Resources,94000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Infrastructure,42000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Infrastructure,40000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Equity,68000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Real Estate,45000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,25000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Hedge Funds,39000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Debt,80000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Private Debt,70000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,52000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Debt,45000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Debt,81000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Private Equity,9000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Natural Resources,59000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Equity,55000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,3000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Real Estate,97000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Real Estate,1000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Real Estate,20000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Infrastructure,12000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Real Estate,36000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Natural Resources,12000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Debt,42000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Natural Resources,47000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Natural Resources,32000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Debt,5000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Natural Resources,18000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Real Estate,59000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,34000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Debt,61000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Real Estate,4000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Hedge Funds,22000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Equity,52000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Real Estate,69000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Hedge Funds,76000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Debt,18000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Equity,49000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Debt,5000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Hedge Funds,73000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Private Equity,18000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Natural Resources,90000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Private Debt,92000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Equity,23000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Equity,1000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Private Equity,94000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Natural Resources,43000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Infrastructure,36000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Natural Resources,56000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Private Equity,24000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,86000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Hedge Funds,19000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Infrastructure,28000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Infrastructure,41000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Debt,19000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Real Estate,63000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Natural Resources,98000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Real Estate,69000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Infrastructure,26000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Infrastructure,38000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Infrastructure,69000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Infrastructure,57000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Natural Resources,87000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,36000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Infrastructure,77000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Hedge Funds,50000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Hedge Funds,9000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Natural Resources,13000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Equity,19000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Private Equity,93000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Hedge Funds,82000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Hedge Funds,53000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Hedge Funds,54000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Real Estate,69000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Real Estate,42000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Real Estate,10000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Debt,93000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Natural Resources,95000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Equity,10000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Natural Resources,9000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Equity,60000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Hedge Funds,30000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Natural Resources,42000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Natural Resources,11000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Natural Resources,96000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Natural Resources,50000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Equity,32000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,79000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Real Estate,31000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Real Estate,9000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Real Estate,24000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Infrastructure,38000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Real Estate,83000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Infrastructure,72000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Equity,17000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Natural Resources,50000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Private Debt,39000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Natural Resources,60000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Real Estate,7000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Natural Resources,5000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Equity,69000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Equity,17000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Infrastructure,95000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Real Estate,21000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Hedge Funds,48000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Equity,95000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Real Estate,89000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Natural Resources,1000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Real Estate,48000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Infrastructure,42000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Equity,5000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Equity,17000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,42000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Private Equity,6000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Equity,6000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Real Estate,17000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,73000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Infrastructure,64000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Infrastructure,0,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Infrastructure,89000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Real Estate,21000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Equity,12000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,31000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Hedge Funds,46000000,GBP
